id;x;y;z;depth_;date_;comments
Collar_77;4710764.10298999;2238345.68851999;1587;30;45858;Topo
Collar_78;4710930.07053;2238304.40689;1587;30;45858;Topo
Collar_79;4710925.62504;2238283.43098;1587;30;45858;Topo
Collar_80;4710916.03866999;2238281.38437;1587;30;45858;Topo
Collar_81;4710920.74039999;2238273.10838;1587;30;45858;Topo
Collar_82;4710932.76750999;2238262.82935999;1587;30;45858;Topo
Collar_83;4710915.79621999;2238270.74044999;1587;30;45858;Topo
Collar_84;4710910.99146;2238276.42356;1587;30;45858;Topo
Collar_85;4710949.17141999;2238325.71317999;1587;30;45858;Topo
Collar_86;4710940.15919;2238319.61059999;1587;30;45858;Topo
Collar_87;4710952.16712999;2238323.56968999;1588;30;45858;Topo
Collar_88;4710940.72676999;2238308.48229;1588;30;45858;Topo
Collar_89;4710942.30862;2238297.7472;1588;30;45858;Topo
Collar_90;4710935.76499999;2238289.22053;1588;30;45858;Topo
Collar_91;4710936.54358999;2238276.92034;1588;30;45858;Topo
Collar_92;4710927.21406999;2238270.75370999;1588;30;45858;Topo
Collar_93;4710942.62043999;2238257.38422999;1588;30;45858;Topo
Collar_94;4710943.07741999;2238246.94607;1588;30;45858;Topo
Collar_95;4710941.68585;2238254.31218999;1588;30;45858;Topo
Collar_96;4710935.19307;2238260.87319999;1588;30;45858;Topo
Collar_97;4710927.58208;2238263.0002;1588;30;45858;Topo
Collar_98;4710925.46463;2238258.19095;1588;30;45858;Topo
Collar_99;4710909.18250999;2238256.86076;1588;30;45858;Topo
Collar_100;4710893.11101999;2238266.80849;1588;30;45858;Topo
Collar_101;4710886.89833;2238258.26475;1588;30;45858;Topo
Collar_102;4710884.56041;2238270.30721999;1588;30;45858;Topo
Collar_103;4710871.40156;2238269.15191;1588;30;45858;Topo
Collar_104;4710851.08806999;2238278.80103999;1588;30;45858;Topo
Collar_105;4710819.1535;2238268.08915999;1588;30;45858;Topo
Collar_106;4710796.60293999;2238291.34616999;1588;30;45858;Topo
Collar_107;4710792.39649;2238282.00437999;1588;30;45858;Topo
Collar_108;4710778.7801;2238268.75903999;1588;30;45858;Topo
Collar_109;4710777.02637;2238258.52950999;1588;30;45858;Topo
Collar_110;4710752.00308999;2238258.53829;1588;30;45858;Topo
Collar_111;4710750.03763;2238266.07016;1588;30;45858;Topo
Collar_112;4710719.15378999;2238299.85122;1588;30;45858;Topo
Collar_113;4710717.94431;2238314.95575;1588;30;45858;Topo
Collar_114;4710711.69761;2238318.64400999;1588;30;45858;Topo
Collar_115;4710707.81338999;2238336.14765;1588;30;45858;Topo
Collar_116;4710704.68192;2238367.34253;1588;30;45858;Topo
Collar_117;4710726.00141;2238321.62608999;1588;30;45858;Topo
Collar_118;4710717.71628;2238336.92897999;1588;30;45858;Topo
Collar_119;4710711.51370999;2238338.5059;1588;30;45858;Topo
Collar_120;4710711.95861999;2238331.8977;1588;30;45858;Topo
Collar_122;4710954.93553999;2238321.16418999;1589;30;45858;Topo
Collar_123;4710948.61479;2238308.36738999;1589;30;45858;Topo
Collar_124;4710949.89934999;2238290.73401999;1589;30;45858;Topo
Collar_125;4710941.18257999;2238281.45343;1589;30;45858;Topo
Collar_126;4710945.6023;2238268.64356;1589;30;45858;Topo
Collar_127;4710940.15271;2238265.60092;1589;30;45858;Topo
Collar_128;4710946.85814999;2238252.78714;1589;30;45858;Topo
Collar_129;4710943.37418999;2238242.43991;1589;30;45858;Topo
Collar_130;4710948.81580999;2238234.49808999;1589;30;45858;Topo
Collar_131;4710940.0299;2238240.60657999;1589;30;45858;Topo
Collar_132;4710941.42568;2238250.04813;1589;30;45858;Topo
Collar_133;4710938.38172999;2238255.34273;1589;30;45858;Topo
Collar_134;4710915.40708;2238251.42035999;1589;30;45858;Topo
Collar_135;4710891.58982999;2238259.98457999;1589;30;45858;Topo
Collar_136;4710885.11895;2238252.22317;1589;30;45858;Topo
Collar_137;4710883.04425999;2238266.97057999;1589;30;45858;Topo
Collar_138;4710863.65716999;2238267.90179;1589;30;45858;Topo
Collar_139;4710847.86424;2238274.62823999;1589;30;45858;Topo
Collar_140;4710820.95906999;2238266.69427999;1589;30;45858;Topo
Collar_141;4710794.06752999;2238275.03783999;1589;30;45858;Topo
Collar_142;4710784.48465999;2238268.63334999;1589;30;45858;Topo
Collar_143;4710785.02342;2238260.71271;1589;30;45858;Topo
Collar_144;4710780.27367;2238254.16277999;1589;30;45858;Topo
Collar_145;4710763.55527999;2238258.4276;1589;30;45858;Topo
Collar_146;4710748.17724999;2238253.38072999;1589;30;45858;Topo
Collar_147;4710737.97324999;2238269.87264;1589;30;45858;Topo
Collar_148;4710692.60357999;2238303.27478;1589;30;45858;Topo
Collar_149;4710691.38905;2238308.14154999;1589;30;45858;Topo
Collar_150;4710698.27668999;2238322.00268999;1589;30;45858;Topo
Collar_151;4710681.61766999;2238316.74283999;1589;30;45858;Topo
Collar_152;4710670.63377999;2238355.88640999;1589;30;45858;Topo
Collar_153;4710958.04521999;2238318.90799;1590;30;45858;Topo
Collar_154;4710954.92382;2238312.62644999;1590;30;45858;Topo
Collar_155;4710954.09956;2238293.46761999;1590;30;45858;Topo
Collar_156;4710946.75714999;2238275.62688999;1590;30;45858;Topo
Collar_157;4710952.97833;2238265.53145;1590;30;45858;Topo
Collar_158;4710946.73653;2238242.21235999;1590;30;45858;Topo
Collar_159;4710957.16787;2238228.43367;1590;30;45858;Topo
Collar_160;4710952.65887;2238226.87526;1590;30;45858;Topo
Collar_161;4710938.97085999;2238238.78804;1590;30;45858;Topo
Collar_162;4710940.30353999;2238249.51355999;1590;30;45858;Topo
Collar_163;4710937.75805999;2238253.68278999;1590;30;45858;Topo
Collar_164;4710922.84719999;2238247.55831;1590;30;45858;Topo
Collar_165;4710907.63657999;2238253.13503;1590;30;45858;Topo
Collar_166;4710889.86067;2238253.60794;1590;30;45858;Topo
Collar_167;4710883.74263999;2238247.37503;1590;30;45858;Topo
Collar_168;4710882.01683999;2238264.07769999;1590;30;45858;Topo
Collar_169;4710863.82586;2238265.27835999;1590;30;45858;Topo
Collar_170;4710847.51425;2238271.63960999;1590;30;45858;Topo
Collar_171;4710822.66793;2238265.53978;1590;30;45858;Topo
Collar_172;4710803.58435;2238269.41801;1590;30;45858;Topo
Collar_173;4710791.5284;2238262.62735;1590;30;45858;Topo
Collar_174;4710786.32524;2238252.37637999;1590;30;45858;Topo
Collar_175;4710759.31886999;2238256.77955;1590;30;45858;Topo
Collar_176;4710743.97262999;2238249.35479999;1590;30;45858;Topo
Collar_177;4710736.17862999;2238265.94382999;1590;30;45858;Topo
Collar_178;4710702.39914999;2238278.71585999;1590;30;45858;Topo
Collar_179;4710684.27637999;2238282.21450999;1590;30;45858;Topo
Collar_180;4710680.40091;2238279.41886;1590;30;45858;Topo
Collar_181;4710679.88908;2238268.5186;1590;30;45858;Topo
Collar_182;4710661.48245999;2238248.03898999;1590;30;45858;Topo
Collar_183;4710654.75789;2238253.20783999;1590;30;45858;Topo
Collar_184;4710651.59877999;2238272.24623999;1590;30;45858;Topo
Collar_185;4710657.0443;2238282.04437999;1590;30;45858;Topo
Collar_186;4710653.79026999;2238284.31216999;1590;30;45858;Topo
Collar_187;4710642.57282;2238281.24597;1590;30;45858;Topo
Collar_188;4710641.88765999;2238287.27043;1590;30;45858;Topo
Collar_189;4710651.61787999;2238310.45471999;1590;30;45858;Topo
Collar_190;4710646.83036;2238329.93404999;1590;30;45858;Topo
Collar_191;4710675.19316999;2238197.26190999;1590;30;45858;Topo
Collar_192;4710672.95774;2238195.38035;1590;30;45858;Topo
Collar_193;4710672.21984999;2238192.06913;1590;30;45858;Topo
Collar_194;4710667.62442999;2238187.07849999;1590;30;45858;Topo
Collar_195;4710657.26355999;2238182.95979999;1590;30;45858;Topo
Collar_196;4710645.96109;2238186.85973;1590;30;45858;Topo
Collar_197;4710641.68377;2238195.76819;1590;30;45858;Topo
Collar_198;4710649.02515;2238200.15935999;1590;30;45858;Topo
Collar_199;4710658.34960999;2238195.83326;1590;30;45858;Topo
Collar_200;4710662.89711999;2238209.79041999;1590;30;45858;Topo
Collar_202;4710959.96593999;2238316.65419;1591;30;45858;Topo
Collar_203;4710953.04748;2238269.37804999;1591;30;45858;Topo
Collar_204;4710958.51597;2238259.33962;1591;30;45858;Topo
Collar_205;4710953.30319999;2238253.39716;1591;30;45858;Topo
Collar_206;4710953.21929999;2238239.46491;1591;30;45858;Topo
Collar_207;4710961.79815;2238227.21377999;1591;30;45858;Topo
Collar_208;4710960.66947999;2238223.4945;1591;30;45858;Topo
Collar_209;4710946.87203;2238227.59904999;1591;30;45858;Topo
Collar_210;4710937.66021;2238238.58730999;1591;30;45858;Topo
Collar_211;4710938.37961;2238248.54334999;1591;30;45858;Topo
Collar_212;4710935.83940999;2238251.71169999;1591;30;45858;Topo
Collar_213;4710925.81788999;2238245.94670999;1591;30;45858;Topo
Collar_214;4710909.96949;2238249.26489;1591;30;45858;Topo
Collar_215;4710896.08494;2238244.3459;1591;30;45858;Topo
Collar_216;4710886.76097;2238246.28487;1591;30;45858;Topo
Collar_217;4710883.17310999;2238243.16638999;1591;30;45858;Topo
Collar_218;4710880.18126999;2238248.07113;1591;30;45858;Topo
Collar_219;4710880.36988;2238262.36023;1591;30;45858;Topo
Collar_220;4710864.00707999;2238263.37002999;1591;30;45858;Topo
Collar_221;4710847.74124999;2238269.81766999;1591;30;45858;Topo
Collar_222;4710823.58033999;2238264.30837999;1591;30;45858;Topo
Collar_223;4710805.01592999;2238266.81754;1591;30;45858;Topo
Collar_224;4710788.87581;2238249.83924;1591;30;45858;Topo
Collar_225;4710759.9697;2238255.79364999;1591;30;45858;Topo
Collar_226;4710741.10972999;2238245.8143;1591;30;45858;Topo
Collar_227;4710731.1353;2238261.16758;1591;30;45858;Topo
Collar_228;4710691.08261999;2238271.1383;1591;30;45858;Topo
Collar_229;4710681.35328;2238254.08417999;1591;30;45858;Topo
Collar_230;4710684.54841;2238247.55160999;1591;30;45858;Topo
Collar_231;4710675.99351;2238246.84225999;1591;30;45858;Topo
Collar_232;4710672.9817;2238243.43954;1591;30;45858;Topo
Collar_233;4710674.95937;2238237.44346999;1591;30;45858;Topo
Collar_234;4710669.85104;2238230.23514;1591;30;45858;Topo
Collar_235;4710666.80377999;2238216.84128999;1591;30;45858;Topo
Collar_236;4710675.36859999;2238197.18897;1591;30;45858;Topo
Collar_237;4710673.35142999;2238195.001;1591;30;45858;Topo
Collar_238;4710672.81132999;2238192.33911;1591;30;45858;Topo
Collar_239;4710667.95841;2238186.88805;1591;30;45858;Topo
Collar_240;4710657.08219;2238182.51460999;1591;30;45858;Topo
Collar_241;4710644.61426;2238186.22301999;1591;30;45858;Topo
Collar_242;4710634.97537999;2238197.55831;1591;30;45858;Topo
Collar_243;4710622.84551999;2238201.71639;1591;30;45858;Topo
Collar_244;4710627.89917;2238210.21947999;1591;30;45858;Topo
Collar_245;4710642.20686999;2238207.84268999;1591;30;45858;Topo
Collar_246;4710638.71157;2238208.87511999;1591;30;45858;Topo
Collar_247;4710635.44273999;2238216.05415999;1591;30;45858;Topo
Collar_248;4710628.44921;2238213.68944999;1591;30;45858;Topo
Collar_249;4710624.74086;2238215.87576999;1591;30;45858;Topo
Collar_250;4710620.3046;2238223.70937999;1591;30;45858;Topo
Collar_251;4710621.90897999;2238227.60937999;1591;30;45858;Topo
Collar_252;4710617.47589999;2238228.45111999;1591;30;45858;Topo
Collar_253;4710605.41194;2238246.29123;1591;30;45858;Topo
Collar_254;4710605.68016999;2238252.26837;1591;30;45858;Topo
Collar_255;4710598.01174999;2238265.08840999;1591;30;45858;Topo
Collar_256;4710605.81199;2238267.05543999;1591;30;45858;Topo
Collar_257;4710600.82631;2238284.11655999;1591;30;45858;Topo
Collar_258;4710372.44342999;2238292.3404;1592;30;45858;Topo
Collar_259;4710370.81663999;2238291.55458;1592;30;45858;Topo
Collar_260;4710962.64828;2238314.26085999;1592;30;45858;Topo
Collar_261;4710960.26092999;2238311.16784999;1592;30;45858;Topo
Collar_262;4710959.45098;2238274.76598;1592;30;45858;Topo
Collar_263;4710956.00745;2238268.59916999;1592;30;45858;Topo
Collar_264;4710963.78008999;2238256.69112;1592;30;45858;Topo
Collar_265;4710957.82124;2238247.73643;1592;30;45858;Topo
Collar_266;4710958.212;2238235.20014999;1592;30;45858;Topo
Collar_267;4710964.02962;2238226.73872999;1592;30;45858;Topo
Collar_268;4710963.71176;2238219.79830999;1592;30;45858;Topo
Collar_269;4710942.19103;2238228.16141999;1592;30;45858;Topo
Collar_270;4710936.75693999;2238238.39715;1592;30;45858;Topo
Collar_271;4710935.99402;2238242.90574999;1592;30;45858;Topo
Collar_272;4710934.82651;2238247.73621999;1592;30;45858;Topo
Collar_273;4710925.64553;2238242.58886;1592;30;45858;Topo
Collar_274;4710915.30595999;2238246.74332999;1592;30;45858;Topo
Collar_275;4710903.29203;2238245.21765;1592;30;45858;Topo
Collar_276;4710883.30458999;2238234.28998999;1592;30;45858;Topo
Collar_277;4710878.64494;2238242.46390999;1592;30;45858;Topo
Collar_278;4710879.56080999;2238255.63958;1592;30;45858;Topo
Collar_279;4710876.95253;2238261.98467;1592;30;45858;Topo
Collar_280;4710864.22946999;2238261.5405;1592;30;45858;Topo
Collar_281;4710858.12787999;2238265.19877;1592;30;45858;Topo
Collar_282;4710847.3322;2238268.33257;1592;30;45858;Topo
Collar_283;4710825.19321999;2238263.05788;1592;30;45858;Topo
Collar_284;4710805.34075;2238264.51705999;1592;30;45858;Topo
Collar_285;4710797.63002999;2238251.21200999;1592;30;45858;Topo
Collar_286;4710792.33631999;2238248.50992;1592;30;45858;Topo
Collar_287;4710763.01250999;2238255.13859;1592;30;45858;Topo
Collar_288;4710737.86098999;2238243.96597999;1592;30;45858;Topo
Collar_289;4710733.23318;2238245.771;1592;30;45858;Topo
Collar_290;4710725.80238999;2238256.58269;1592;30;45858;Topo
Collar_291;4710700.81775;2238262.11724;1592;30;45858;Topo
Collar_292;4710688.75220999;2238253.45081999;1592;30;45858;Topo
Collar_293;4710690.88910999;2238244.85374;1592;30;45858;Topo
Collar_294;4710683.12215999;2238230.19426999;1592;30;45858;Topo
Collar_295;4710671.02594;2238217.4681;1592;30;45858;Topo
Collar_296;4710670.48056999;2238211.20695;1592;30;45858;Topo
Collar_297;4710675.75602;2238198.06458;1592;30;45858;Topo
Collar_298;4710673.4922;2238194.69675;1592;30;45858;Topo
Collar_299;4710672.92200999;2238191.99242;1592;30;45858;Topo
Collar_300;4710668.08602999;2238186.75840999;1592;30;45858;Topo
Collar_301;4710656.50346999;2238182.17332;1592;30;45858;Topo
Collar_302;4710642.82883;2238186.00224999;1592;30;45858;Topo
Collar_303;4710633.57803;2238193.58400999;1592;30;45858;Topo
Collar_304;4710614.69912;2238197.31675;1592;30;45858;Topo
Collar_305;4710613.67045999;2238204.51266;1592;30;45858;Topo
Collar_306;4710607.91165;2238208.12974999;1592;30;45858;Topo
Collar_307;4710589.25207;2238238.65475;1592;30;45858;Topo
Collar_308;4710598.74959999;2238239.48218999;1592;30;45858;Topo
Collar_309;4710601.00196999;2238242.77114999;1592;30;45858;Topo
Collar_310;4710595.78383999;2238250.37717;1592;30;45858;Topo
Collar_311;4710589.7702;2238249.70767999;1592;30;45858;Topo
Collar_312;4710237.86622999;2238172.50713999;1593;30;45858;Topo
Collar_313;4710238.40316999;2238171.86474;1593;30;45858;Topo
Collar_314;4710325.62569;2238268.25233;1593;30;45858;Topo
Collar_315;4710323.95443999;2238261.34201999;1593;30;45858;Topo
Collar_316;4710326.29375;2238254.99214999;1593;30;45858;Topo
Collar_317;4710323.19637999;2238246.74538;1593;30;45858;Topo
Collar_318;4710318.85166;2238247.22219;1593;30;45858;Topo
Collar_319;4710315.48967999;2238261.70625999;1593;30;45858;Topo
Collar_320;4710373.85426;2238292.33754999;1593;30;45858;Topo
Collar_321;4710370.48505;2238281.57823;1593;30;45858;Topo
Collar_322;4710338.34286999;2238276.42709999;1593;30;45858;Topo
Collar_323;4710984.35754;2238294.17727999;1593;30;45858;Topo
Collar_324;4710969.11132999;2238292.41815999;1593;30;45858;Topo
Collar_325;4710961.93781999;2238285.84052;1593;30;45858;Topo
Collar_326;4710977.11263999;2238252.85788;1593;30;45858;Topo
Collar_327;4710967.83638999;2238249.40281999;1593;30;45858;Topo
Collar_328;4710960.36591;2238240.83752;1593;30;45858;Topo
Collar_329;4710968.53602;2238220.4649;1593;30;45858;Topo
Collar_330;4710966.27195999;2238217.57231;1593;30;45858;Topo
Collar_331;4710942.03228999;2238224.56277999;1593;30;45858;Topo
Collar_332;4710934.13826;2238241.82262;1593;30;45858;Topo
Collar_333;4710924.18848;2238239.69884999;1593;30;45858;Topo
Collar_334;4710915.71721999;2238243.77295;1593;30;45858;Topo
Collar_335;4710900.25188999;2238241.64900999;1593;30;45858;Topo
Collar_336;4710881.39346999;2238225.98765;1593;30;45858;Topo
Collar_337;4710875.42356999;2238260.42725;1593;30;45858;Topo
Collar_338;4710864.24555;2238260.09703999;1593;30;45858;Topo
Collar_339;4710857.46396;2238264.30851999;1593;30;45858;Topo
Collar_340;4710846.83323999;2238266.63838999;1593;30;45858;Topo
Collar_341;4710836.51733999;2238262.45159999;1593;30;45858;Topo
Collar_342;4710811.03349999;2238262.20575;1593;30;45858;Topo
Collar_343;4710798.19024;2238247.33554999;1593;30;45858;Topo
Collar_344;4710790.80549;2238246.97029;1593;30;45858;Topo
Collar_345;4710766.16578999;2238254.12325;1593;30;45858;Topo
Collar_346;4710760.77869;2238254.05532999;1593;30;45858;Topo
Collar_347;4710732.96504;2238241.66843;1593;30;45858;Topo
Collar_348;4710728.91724999;2238242.52509;1593;30;45858;Topo
Collar_349;4710722.64063999;2238252.45457;1593;30;45858;Topo
Collar_350;4710700.79600999;2238257.73161;1593;30;45858;Topo
Collar_351;4710693.405;2238250.00224999;1593;30;45858;Topo
Collar_352;4710684.83122;2238229.18203999;1593;30;45858;Topo
Collar_353;4710673.65519999;2238217.15862999;1593;30;45858;Topo
Collar_354;4710676.02720999;2238197.87674999;1593;30;45858;Topo
Collar_355;4710673.73043;2238194.62758;1593;30;45858;Topo
Collar_356;4710673.11882;2238192.00731999;1593;30;45858;Topo
Collar_357;4710668.32020999;2238186.66275;1593;30;45858;Topo
Collar_358;4710657.54217999;2238181.94455;1593;30;45858;Topo
Collar_359;4710643.17829999;2238184.76959;1593;30;45858;Topo
Collar_360;4710632.59300999;2238190.53866;1593;30;45858;Topo
Collar_361;4710616.65170999;2238190.98307;1593;30;45858;Topo
Collar_362;4710603.30602999;2238187.52361;1593;30;45858;Topo
Collar_363;4710593.03804;2238192.52131999;1593;30;45858;Topo
Collar_364;4710591.31391;2238202.81546999;1593;30;45858;Topo
Collar_365;4710573.9615;2238220.56636;1593;30;45858;Topo
Collar_366;4710978.98017;2238300.11640999;1593;30;45858;Topo
Collar_367;4710982.55475999;2238296.35925;1593;30;45858;Topo
Collar_368;4711001.57705;2238279.10496;1593;30;45858;Topo
Collar_369;4710999.18781999;2238281.32630999;1593;30;45858;Topo
Collar_370;4711002.32591;2238278.53291;1593;30;45858;Topo
Collar_371;4711001.62198;2238279.07146999;1593;30;45858;Topo
Collar_372;4711002.64484;2238278.31939999;1593;30;45858;Topo
Collar_373;4711003.07491999;2238278.04186;1593;30;45858;Topo
Collar_374;4711003.79478;2238277.56706999;1593;30;45858;Topo
Collar_375;4711003.82393999;2238277.54881;1593;30;45858;Topo
Collar_376;4710237.11895999;2238173.86719;1594;30;45858;Topo
Collar_377;4710239.00368;2238172.25247999;1594;30;45858;Topo
Collar_378;4710239.26812999;2238170.36297;1594;30;45858;Topo
Collar_379;4710326.41466;2238268.43400999;1594;30;45858;Topo
Collar_380;4710324.79769999;2238261.02186;1594;30;45858;Topo
Collar_381;4710329.73211;2238251.85338999;1594;30;45858;Topo
Collar_382;4710322.01343999;2238235.25682999;1594;30;45858;Topo
Collar_383;4710318.31046;2238236.28397999;1594;30;45858;Topo
Collar_384;4710312.24985999;2238259.42145999;1594;30;45858;Topo
Collar_385;4710374.50839;2238292.98596;1594;30;45858;Topo
Collar_386;4710374.59951999;2238278.98273999;1594;30;45858;Topo
Collar_387;4710337.32644999;2238275.41477;1594;30;45858;Topo
Collar_388;4710987.65873999;2238291.8492;1594;30;45858;Topo
Collar_389;4710974.23106999;2238286.25227;1594;30;45858;Topo
Collar_390;4710983.03466;2238269.27765;1594;30;45858;Topo
Collar_391;4710985.21434;2238255.07267;1594;30;45858;Topo
Collar_392;4710962.26601999;2238239.47014999;1594;30;45858;Topo
Collar_393;4710970.48304999;2238222.62721;1594;30;45858;Topo
Collar_394;4710978.90471999;2238217.16868;1594;30;45858;Topo
Collar_395;4710977.17595999;2238213.86396;1594;30;45858;Topo
Collar_396;4710942.86134999;2238222.11599999;1594;30;45858;Topo
Collar_397;4710933.38987;2238237.81431999;1594;30;45858;Topo
Collar_398;4710922.07992;2238237.2639;1594;30;45858;Topo
Collar_399;4710913.71705;2238241.28969;1594;30;45858;Topo
Collar_400;4710899.21033999;2238238.63347999;1594;30;45858;Topo
Collar_401;4710879.52804;2238219.61958;1594;30;45858;Topo
Collar_402;4710872.99851999;2238256.14105999;1594;30;45858;Topo
Collar_403;4710870.36694;2238258.91983;1594;30;45858;Topo
Collar_404;4710864.19988;2238258.32255;1594;30;45858;Topo
Collar_405;4710857.54327;2238263.22499;1594;30;45858;Topo
Collar_406;4710848.51841;2238264.68952;1594;30;45858;Topo
Collar_407;4710836.51121;2238260.95259999;1594;30;45858;Topo
Collar_408;4710812.79177;2238260.65809;1594;30;45858;Topo
Collar_409;4710809.89254999;2238249.47188;1594;30;45858;Topo
Collar_410;4710804.69278999;2238245.71193;1594;30;45858;Topo
Collar_411;4710791.14496;2238246.12971;1594;30;45858;Topo
Collar_412;4710765.86330999;2238253.22416999;1594;30;45858;Topo
Collar_413;4710760.82165;2238253.04516;1594;30;45858;Topo
Collar_414;4710727.68467;2238238.59214999;1594;30;45858;Topo
Collar_415;4710723.94761;2238239.82753999;1594;30;45858;Topo
Collar_416;4710719.36299999;2238249.51202999;1594;30;45858;Topo
Collar_417;4710704.47092999;2238253.70147999;1594;30;45858;Topo
Collar_418;4710676.11467;2238217.49133;1594;30;45858;Topo
Collar_419;4710676.24345999;2238197.96461;1594;30;45858;Topo
Collar_420;4710673.88654;2238194.49447999;1594;30;45858;Topo
Collar_421;4710673.30006999;2238191.99176;1594;30;45858;Topo
Collar_422;4710667.96537999;2238186.3292;1594;30;45858;Topo
Collar_423;4710657.36161;2238181.65175;1594;30;45858;Topo
Collar_424;4710641.65158;2238183.97677;1594;30;45858;Topo
Collar_425;4710635.178;2238187.46761;1594;30;45858;Topo
